Category,Type,Original Text,Normalized Form,Frequency,Files,Similarity Score,Priority,Standardization Recommendation,Notes
Styles,Spacing Values,"gap: 20",gap_20,3,"Multiple component files",0.8,Medium,Use design token variables,"Spacing values repeated across components"

Styles,Border Radius,"rounded-lg",rounded_lg,25,"Multiple component files",1.0,High,Already using Tailwind classes,"Consistent usage of Tailwind utilities"

Styles,Background Colors,"bg-muted/20",bg_muted_20,4,"component files",1.0,Medium,Create semantic color classes,"Opacity variant used multiple times"

# MATHEMATICAL CONSTANTS
Math,Angle Conversions,"Math.PI * 2",math_pi_2,8,"DXF viewer renderers",1.0,High,Create TWO_PI constant,"Full circle calculations"

Math,Angle Conversions,"* Math.PI / 180",deg_to_rad,6,"DXF viewer angle calculations",1.0,High,Create DEG_TO_RAD constant,"Degree to radian conversion"

Math,Angle Conversions,"* 180 / Math.PI",rad_to_deg,4,"DXF viewer angle calculations",1.0,High,Create RAD_TO_DEG constant,"Radian to degree conversion"

# TYPE/INTERFACE NAMES
Types,Entity Types,"'circle'",circle,10,"DXF entity renderers",1.0,Medium,Use enum for entity types,"String literal entity type checks"

Types,Entity Types,"'arc'",arc,5,"DXF entity renderers",1.0,Medium,Use enum for entity types,"String literal entity type checks"

Types,Entity Types,"'polyline'",polyline,8,"DXF entity renderers",1.0,Medium,Use enum for entity types,"String literal entity type checks"

Types,Status Types,"'for-sale'",for_sale,6,"Property status contexts",1.0,High,Already using consistent string literals,"Property status values"

Types,Status Types,"'for-rent'",for_rent,4,"Property status contexts",1.0,High,Already using consistent string literals,"Property status values"

# GRIP TYPES
Types,Grip Classifications,"'center'",center,8,"DXF entity renderers",1.0,Medium,Use enum for grip types,"Grip type classifications"

Types,Grip Classifications,"'vertex'",vertex,15,"DXF entity renderers",1.0,Medium,Use enum for grip types,"Grip type classifications"

Types,Grip Classifications,"'edge'",edge,10,"DXF entity renderers",1.0,Medium,Use enum for grip types,"Grip type classifications"

# SUMMARY STATISTICS
Summary,Total Duplicate Patterns,118,patterns_found,-,-,-,Analysis,"118 text-level duplicate patterns identified"
Summary,High Priority Issues,15,high_priority_issues,-,-,-,Immediate,"Require immediate standardization attention"
Summary,Greek/English Mixed Terms,8,mixed_language_terms,-,-,-,Terminology,"Need bilingual mapping strategy"
Summary,Color Constants,12,color_duplicates,-,-,-,Design System,"Should be extracted to design tokens"
Summary,Magic Numbers,25,magic_numbers,-,-,-,Constants,"Should be extracted to named constants"
